RPA数据库表名,RPA账单命名,状态,平台,账单类型,RPA入库账户字段,RPA入库日期字段,STG表名,取数平台,广告归类,业务负责人,是否需要对账,店铺,品牌,是否有折扣,数据来源命名,STD表名,账户id,账户id尾缀,账户名称,账户名称尾缀,触达平台,取值字段-消耗,取值字段-推广成交额,取值字段-曝光,取值字段-点击,取值字段-费用发生日期,取值字段-费用总消耗,取值字段-现金消耗,取值字段-赠送金消耗,检查E0001-资金账户ID,检查E0002-总消耗,检查E0003-费用发生日期,检查E0004-备用,检查E0005-备用,检查E1001-投放账户ID,检查E1002-代理商,检查E1003-备用,检查E1004-备用,检查E1005-费用发生日期,检查E1006-商品ID,检查E1007-营销活动场景,检查E1008-达人ID,检查E1009-产品简称,检查E1010-产品品类,检查E1011-核算主体,检查E1012-生效合同,检查E1013-合同代理折扣,检查E1014-经分科目编码,检查E1015-资金账单,检查E2001-推广成交金额,检查E2002-曝光值,检查E2003-点击率,检查E2004-触点平台,检查E2005-广告归类,检查E2006-备用,检查E2007-备用,检查E2008-备用,检查E2009-备用,检查E2010-备用
fin_tmall_adbrain_live_bp,天猫-万相台-超级直播-业务计划,1,天猫,业务,shop_code,cost_date,stg_fin_tmall_adbrain_live_bp,天猫,效果,洛竹,是,1,1,0,天猫-万相台-超级直播-业务计划,std_fin_tmall_adbrain_live_bp,shop_code,A017,shop_name,万相台-超级直播,,spend_amt,trans_amt,view_cnt,product_click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,0,,,0,,,1,1,1,1,,,,,,,
fin_tmall_adbrain_video_bp,天猫-万相台-短视频-业务计划,1,天猫,业务,shop_code,cost_date,stg_fin_tmall_adbrain_video_bp,天猫,效果,洛竹,是,1,1,0,天猫-万相台-超级短视频,std_fin_tmall_adbrain_video_bp,shop_code,A021,shop_name,万相台-超级短视频,,consume,grass_guidance_trans_amt,view_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_tmall_adbrain_cf,天猫-万相台-资金流水,1,天猫,资金,shop_code,account_time,stg_fin_tmall_adbrain_cf,天猫,,,是,1,0,0,万相台,std_fin_tmall_adbrain_cf,shop_code,WXT,shop_name,万相台,,,,,,trans_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_tmall_gravity_cube_bp,天猫-引力魔方-业务计划‘,1,天猫,业务,shop_code,cost_date,stg_fin_tmall_gravity_cube_bp,天猫,效果,洛竹,是,1,1,0,天猫-引力魔方-业务计划,std_fin_tmall_gravity_cube_bp,shop_code,A023,shop_name,引力魔方,,spend_amt,trans_amt,impression_cnt,click_cnt,cost_date,,,,,,,,,0,,,,,1,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_tmall_gravity_cube_cf,天猫-引力魔方-资金流水,1,天猫,资金,shop_code,account_time,stg_fin_tmall_gravity_cube_cf,天猫,,,是,1,0,0,引力魔方,std_fin_tmall_gravity_cube_cf,shop_code,YLMF,,引力魔方,,,,,,trans_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_tmall_hotwave,天猫-热浪引擎,1,天猫,直播,shop_code,order_pay_time,stg_fin_tmall_hotwave,天猫,,,否,1,1,0,,std_fin_tmall_hotwave,,,,,,,,,,,,,,,,,,,0,,,,,1,,1,1,,,0,,,0,0,0,0,,,,,,,
fin_tmall_tbk,天猫-淘宝客,1,天猫,直播,shop_code,settlement_time,stg_fin_tmall_tbk,天猫,,,是,1,1,0,,std_fin_tmall_tbk,,,,,,,,,,,,,,,,,,,0,,,,,1,,1,1,,,0,,,0,0,0,0,,,,,,,
fin_tmall_tbk_refund,天猫-淘宝客-逆向维权,1,天猫,直播,shop_code,protection_complete_time,stg_fin_tmall_tbk_refund,天猫,,,是,1,1,0,,std_fin_tmall_tbk_refund,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,1,,,0,,,0,0,0,0,,,,,,,
fin_tmall_ud_bp,天猫-UD-业务计划,0,天猫,业务,shop_code,cost_date,stg_fin_tmall_ud_bp,天猫,,,是,1,1,0,天猫-UD信息流-业务计划,std_fin_tmall_ud_bp,account_id,,account_name,,,consume,trans_order_amt,impression_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,1,,,0,,,1,0,0,0,,,,,,,
fin_tmall_ud_cf,天猫-UD-资金账单,0,天猫,资金,shop_code,cost_date,stg_fin_tmall_ud_cf,天猫,,,是,0,0,0,UD信息流,std_fin_tmall_ud_cf,,,,,,,,,,cost_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_tmall_ad_bp,天猫-AD-业务计划,1,天猫,业务,ad_account_id,cost_date,stg_fin_tmall_ad_bp,抖音,效果,阿布,是,1,1,1,天猫-AD信息流-广告计划,std_fin_tmall_ad_bp,ad_account_id,,,,,consume,,impression_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,1,,,0,,,1,0,1,1,,,,,,,
fin_tmall_ad_cf,天猫-AD-业务资金,1,天猫,资金,account_id,cost_date,stg_fin_tmall_ad_cf,抖音,,,是,1,0,0,AD信息流,std_fin_tmall_ad_cf,,,account_name,,,,,,,cost_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_tmall_dirtrain_bp,天猫-直通车-业务计划,1,天猫,业务,shop_code,cost_date,stg_fin_tmall_dirtrain_bp,天猫,效果,洛竹,是,1,1,0,天猫-直通车-业务计划,std_fin_tmall_dirtrain_bp,shop_code,A022,shop_name,直通车,,spend_amt,total_trans_amt,impression_cnt,click_cnt,cost_date,,,,,,,,,0,,,,,1,,0,1,,,0,,,1,0,1,1,,,,,,,
fin_tmall_dirtrain_cf,天猫-直通车-资金流水,1,天猫,资金,shop_code,account_time,stg_fin_tmall_dirtrain_cf,天猫,,,是,1,0,0,直通车,std_fin_tmall_dirtrain_cf,shop_code,ZTC,shop_name,直通车,,,,,,trans_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_tmall_biz_bill,天猫-生意参谋,1,天猫,打标,shop_code,order_time,stg_fin_tmall_biz_bill,天猫,,,否,0,0,0,,std_fin_tmall_biz_bill,,,,,,,,,,,,,,,,,,,0,,,,,0,,1,0,,,0,,,0,0,0,0,,,,,,,
fin_jd_jzt_cash_cf,京东-京准通-现金,1,京东,资金,shop_code,launch_date,stg_fin_jd_jzt_cash_cf,京东,,,是,1,0,0,京东-京准通-现金,std_fin_jd_jzt_cash_cf,,"DP002:-JD,JDZY",shop_name,,,,,,,launch_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_jd_jzt_red_packet_cf,京东-京准通-红包,1,京东,资金,shop_code,launch_date,stg_fin_jd_jzt_red_packet_cf,京东,,,是,1,0,0,京东-京准通-红包,std_fin_jd_jzt_red_packet_cf,,"DP002:-JD,JDZY",shop_name,,,,,,,launch_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_jd_jzt_refund_cf,京东-京准通-返佣返货金,1,京东,资金,shop_code,launch_date,stg_fin_jd_jzt_refund_cf,京东,,,是,1,0,0,京东-京准通-返佣返货金,std_fin_jd_jzt_refund_cf,,"DP002:-JD,JDZY",shop_name,,,,,,,launch_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_jd_interactive_ad_plan_bp,京东-互动广告-计划,1,京东,业务,shop_code,click_time,stg_fin_jd_interactive_ad_plan_bp,京东,效果,樗里,是,1,1,0,互动广告(原京东展位)-推广计划,std_fin_jd_interactive_ad_plan_bp,shop_code,A005,shop_name,互动广告,,spend_amt,total_order_amt,impression_cnt,click_cnt,click_time,,,,,,,,,1,,,,,0,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_jd_extrain_plan_bp,京东-快车广告-计划,1,京东,业务,shop_code,cost_date,stg_fin_jd_extrain_plan_bp,京东,效果,樗里,是,1,1,0,快车(原京东快车)-推广计划,std_fin_jd_extrain_plan_bp,shop_code,A006,shop_name,快车,,total_fee,total_order_amt,impression_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_jd_recommended_ad_plan_bp,京东-推荐广告-计划,1,京东,业务,shop_code,cost_date,stg_fin_jd_recommended_ad_plan_bp,京东,效果,樗里,是,1,1,0,推荐广告(原京东购物触点)-推广计划,std_fin_jd_recommended_ad_plan_bp,shop_code,A008,shop_name,推荐广告,,total_fee,total_order_amt,impression_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_jd_outer_ad_plan_bp,京东-站外广告-计划,1,京东,业务,account_id,click_time,stg_fin_jd_outer_ad_plan_bp,京东,效果,樗里,是,1,1,0,站外广告(原京东直投)-推广计划,std_fin_jd_outer_ad_plan_bp,shop_code,A007,shop_name,站外广告,media_type,consume,order_amt,impression_cnt,click_cnt,click_time,,,,,,,,,1,,,,,0,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_jd_zhinengtoufang_plan_bp,京东-智能投放-计划,1,京东,业务,shop_code,click_time,stg_fin_jd_zhinengtoufang_plan_bp,京东,效果,樗里,是,1,1,0,京东智能投放-推广计划,std_fin_jd_zhinengtoufang_plan_bp,shop_code,A009,shop_name,智能投放,,total_fee,total_order_amt,impression_cnt,click_cnt,click_time,,,,,,,,,1,,,,,0,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_kuaishou_cililzhitou_bp,快手-磁力智投-业务,1,快手,业务,account_id,cost_date,stg_fin_kuaishou_cililzhitou_bp,快手,效果,阿布,是,1,1,1,磁力引擎,std_fin_kuaishou_cililzhitou_bp,account_id,,account_name,,,spend_amt,,cover_exposure_cnt,action_cnt,cost_date,,,,,,,,,0,,,,,0,,0,1,,,0,,,0,0,0,0,,,,,,,
fin_kuaishou_cililzhitou_cf,快手-磁力智投-资金,1,快手,资金,account_id,cost_date,stg_fin_kuaishou_cililzhitou_cf,快手,,,是,1,0,0,磁力引擎,std_fin_kuaishou_cililzhitou_cf,account_id,,account_name,,,,,,,cost_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_kuaishou_cililjinniu_bp,快手-磁力金牛-业务,1,快手,业务,account_id,cost_date,stg_fin_kuaishou_cililjinniu_bp,快手,,,否,0,0,0,磁力金牛,std_fin_kuaishou_cililjinniu_bp,account_id,,account_name,,,consume_amt,day_sum_gmv,live_view_cnt,,cost_date,,,,,,,,,1,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_kuaishou_cililjinniu_cf,快手-磁力金牛-资金,1,快手,资金,ad_main_account_id,cost_date,stg_fin_kuaishou_cililjinniu_cf,快手,,,否,0,0,0,磁力金牛,std_fin_kuaishou_cililjinniu_cf,ad_main_account_id,,,,,,,,,cost_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_kuaishou_cililuopan_bp,快手-磁力罗盘-业务,1,快手,业务,account_id,cost_date,stg_fin_kuaishou_cililuopan_bp,快手,效果,难却,是,1,1,1,磁力金牛,std_fin_kuaishou_cililuopan_bp,account_id,,remark,,,consume,esppc_sum_1d_gmv,exposure_cnt,cover_click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_kuaishou_cililuopan_cf,快手-磁力罗盘-资金,1,快手,资金,account_id,cost_date,stg_fin_kuaishou_cililuopan_cf,快手,,,否,1,0,0,磁力金牛,std_fin_kuaishou_cililuopan_cf,account_id,,account_name,,,,,,,cost_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_kuaishou_order,快手-订单明细,1,快手,直播,shop_code,order_create_time,stg_fin_kuaishou_order,快手,,,否,1,1,0,,std_fin_kuaishou_order,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,1,,,0,,,0,0,0,0,,,,,,,
fin_pdd_scene_display,拼多多-场景展示,1,拼多多,业务,shop_code,cost_date,stg_fin_pdd_scene_display,拼多多,效果,羽阳,是,1,1,0,拼多多-多多场景-推广单元,std_fin_pdd_scene_display,shop_code,A012,shop_name,多多场景,,consume_amt,trade_amt,exposure_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_pdd_star_store,拼多多-明星店铺,1,拼多多,业务,shop_code,cost_date,stg_fin_pdd_star_store,拼多多,效果,羽阳,是,1,1,0,拼多多-明星店铺-推广单元,std_fin_pdd_star_store,shop_code,A014,shop_name,明星店铺,,consume_amt,trade_amt,exposure_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_pdd_whole_site_promotion,拼多多-全站推广,1,拼多多,业务,shop_code,cost_date,stg_fin_pdd_whole_site_promotion,拼多多,效果,羽阳,是,1,1,0,拼多多-全站推广-推广单元,std_fin_pdd_whole_site_promotion,shop_code,A015,shop_name,全站推广,,consume_amt,trade_amt,exposure_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_pdd_search_promotion,拼多多-搜索推广,1,拼多多,业务,shop_code,cost_date,stg_fin_pdd_search_promotion,拼多多,效果,羽阳,是,1,1,0,拼多多-多多搜索-推广单元,std_fin_pdd_search_promotion,shop_code,A013,shop_name,多多搜索,,consume_amt,trade_amt,exposure_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,1,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_pdd_live_promotion,拼多多-直播推广,1,拼多多,业务,shop_code,cost_date,stg_fin_pdd_live_promotion,拼多多,效果,羽阳,是,1,1,0,拼多多-直播推广-推广单元,std_fin_pdd_live_promotion,shop_code,A011,shop_name,直播推广,,consume_amt,trade_amt,exposure_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,1,,0,1,,,0,,,1,1,1,1,,,,,,,
fin_pdd_cf,拼多多-流水明细,1,拼多多,资金,shop_code,cost_date,stg_fin_pdd_cf,拼多多,,,是,0,0,0,拼多多,std_fin_pdd_cf,shop_code,PDD,shop_name,,,,,,,cost_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_vip_smart_display,唯品会-唯智展,1,唯品会,业务,shop_code,cost_date,stg_fin_vip_smart_display,唯品会,效果,樗里,是,1,1,0,唯智展,std_fin_vip_smart_display,shop_code,A030,shop_name,唯智展,,spend_amt,promotion_trans_amt,exposure_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,0,,,0,,,1,0,1,1,,,,,,,
fin_vip_direct_access,唯品会-唯直达,1,唯品会,业务,shop_code,cost_date,stg_fin_vip_direct_access,唯品会,效果,樗里,是,1,1,0,唯直达,std_fin_vip_direct_access,shop_code,A027,shop_name,唯直达,,spend_amt,,exposure_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,1,,,0,,,1,0,1,1,,,,,,,
fin_vip_contact_point,唯品会-唯触点,1,唯品会,业务,shop_code,cost_date,stg_fin_vip_contact_point,唯品会,效果,樗里,是,1,1,0,唯触点,std_fin_vip_contact_point,shop_code,A026,shop_name,唯触点,,spend_amt,,exposure_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,1,,,0,,,1,0,1,1,,,,,,,
fin_vip_massive_engine,唯品会-巨量引擎,1,唯品会,业务,shop_code,cost_date,stg_fin_vip_massive_engine,唯品会,效果,樗里,是,1,1,0,巨量引擎,std_fin_vip_massive_engine,shop_code,A028,shop_name,巨量引擎,抖音,spend_amt,,exposure_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,1,,,0,,,1,0,0,1,,,,,,,
fin_vip_mobile_select,唯品会-移动精选,1,唯品会,业务,shop_code,cost_date,stg_fin_vip_mobile_select,唯品会,效果,樗里,是,1,1,0,移动精选,std_fin_vip_mobile_select,shop_code,A029,shop_name,移动精选,其他,spend_amt,,exposure_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,0,,,0,,,1,0,1,1,,,,,,,
fin_vip_tencent_ad,唯品会-腾讯广告,1,唯品会,业务,shop_code,cost_date,stg_fin_vip_tencent_ad,唯品会,效果,樗里,是,1,1,0,腾讯广告,std_fin_vip_tencent_ad,shop_code,A032,shop_name,腾讯广告,微信,spend_amt,promotion_trans_amt,exposure_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,1,,,0,,,1,0,1,1,,,,,,,
fin_vip_influencer_sell,唯品会-达人卖货,1,唯品会,直播,shop_code,cost_date,stg_fin_vip_influencer_sell,唯品会,,,否,1,1,0,,std_fin_vip_influencer_sell,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_vip_target_max,唯品会-Target-Max,1,唯品会,业务,shop_code,cost_date,stg_fin_vip_target_max,唯品会,效果,樗里,是,1,1,0,Target-Max,std_fin_vip_target_max,shop_code,A031,shop_name,Target-Max,,spend_amt,,exposure_cnt,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,0,,,0,,,1,0,1,1,,,,,,,
fin_vip_finance_cf,唯品会-财务记录,1,唯品会,资金,shop_code,cost_date,stg_fin_vip_finance_cf,唯品会,,,是,0,0,0,"唯智展,唯直达,唯触点,移动精选,腾讯广告,Target-Max,巨量引擎,达人卖货",std_fin_vip_finance_cf,shop_code,WPH,shop_name,,,,,,,cost_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_xhs_bp,小红书-业务,1,小红书,业务,account_id,account_time,stg_fin_xhs_bp,小红书,内容,,是,0,1,1,小红书-内容加热,std_fin_xhs_bp,account_id,,account_name,,,consume,,impression_cnt,click_cnt,account_time,,,,,,,,,1,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_xhs_cf,小红书-资金,1,小红书,资金,account_id,operation_time,stg_fin_xhs_cf,小红书,,,是,0,0,0,聚光,std_fin_xhs_cf,account_id,,account_name,,,,,,,launch_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_bilibili_bp,B站-业务,1,B站,业务,account_id,cost_date,stg_fin_bilibili_bp,B站,内容,甘草,是,0,1,1,B站起飞加热,std_fin_bilibili_bp,account_name,,account_name,,,total_consume,,show_impression,click_cnt,cost_date,,,,,,,,,1,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_bilibili_cf,B站-资金,1,B站,资金,account_id,cost_date,stg_fin_bilibili_cf,B站,,,是,0,0,0,起飞加热,std_fin_bilibili_cf,account_id,,account_name,,,,,,,cost_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_weibo_bp,微博-业务,1,微博,业务,account_id,account_time,stg_fin_weibo_bp,微博,内容,罗志文,是,0,1,0,微博粉条,std_fin_weibo_bp,account_id,,account_name,,,consume,,exposure_cnt,,account_time,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_weibo_cf,微博-资金,1,微博,资金,account_id,cost_date,stg_fin_weibo_cf,微博,,,是,0,0,0,微博,std_fin_weibo_cf,account_id,,account_name,,,,,,,cost_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_weixin_adq_bp,微信-ADQ-业务,1,微信,业务,shop_code,cost_date,stg_fin_weixin_adq_bp,微信,,,是,1,1,1,微信-ADQ推广,std_fin_weixin_adq_bp,account_id,,account_name,,,spend_amt,,exposure_cnt,click_cnt,cost_date,,,,,,,,,0,,,,,0,,0,1,,,0,,,0,0,0,0,,,,,,,
fin_weixin_adq_cf,微信-ADQ-资金,1,微信,资金,account_id,cost_date,stg_fin_weixin_adq_cf,微信,,,是,0,0,0,微信-ADQ,std_fin_weixin_adq_cf,account_id,,account_name,,,,,,,cost_date,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_weixin_bean_cf,微信-微信豆-资金,0,微信,资金,shop_code,account_time,stg_fin_weixin_bean_cf,微信,,,否,0,0,0,,std_fin_weixin_bean_cf,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_weixin_vedio_order_bp,微信-视频号订单-业务,0,微信,业务,shop_code,order_time,stg_fin_weixin_vedio_order_bp,微信,,,否,0,0,0,,std_fin_weixin_vedio_order_bp,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
fin_weixin_youzan_order_bp,微信-有赞订单-业务,0,微信,业务,shop_code,order_create_time,stg_fin_weixin_youzan_order_bp,微信,,,否,0,0,0,,std_fin_weixin_youzan_order_bp,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,,0,,,0,0,0,0,,,,,,,
